"chain_id","official_source","article","obligation","applicability","control","evidence_requirement","test_scenario","source_file","review_status"
"WP-SPK-001","SPK-VII-128.10","Madde 5","Bilgi sistemleri stratejisi iş hedefleriyle uyumlu tutulur; kontroller, politika/prosedürler yazılı, onaylı ve güncel olur; rol ve sorumluluklar belirlenir.","VII-128.10 madde 2 kapsamındaki kuruluş.","BS yönetişimi ve kontrollü doküman yönetimi.","Yönetim kurulu/üst yönetim onayı, BS stratejisi, politika envanteri, revizyon ve duyuru kayıtları.","Örneklenen 3 politikada geçerli onay, sürüm, gözden geçirme tarihi ve ilgili personele duyuruyu doğrula; eksik alanı FAILED, kanıt erişim arızasını UNKNOWN yap.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-002","SPK-VII-128.10","Madde 6","Bilgi güvenliği politikası üst yönetimce hazırlanır, yönetim kurulunca onaylanır, duyurulur ve yılda en az bir kez gözden geçirilir.","VII-128.10 madde 2 kapsamındaki kuruluş.","Yıllık bilgi güvenliği politikası yaşam döngüsü.","Onaylı politika, yıllık gözden geçirme tutanağı, değişen tehdit/risk değerlendirmesi, duyuru kanıtı.","Son 12 ayda gözden geçirme ve yönetim kurulu onayı var mı; seçilen çalışanlarda politika erişimi kanıtlanabiliyor mu?","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-003","SPK-VII-128.10","Madde 7/3-7/6","Üst yönetim kontrolleri gözetir; yıllık politika/risk/ihlal/eğitim süreçlerini, bağımsız bilgi güvenliği sorumlusunu ve süreklilik planını sağlar.","VII-128.10 madde 2 kapsamındaki kuruluş.","Yönetim gözetimi, bağımsız güvenlik fonksiyonu ve yıllık program.","Yönetim raporları, güvenlik sorumlusu görev tanımı/tecrübe kanıtı, yıllık eğitim ve ihlal değerlendirmesi, süreklilik planı.","Güvenlik sorumlusunun BS işletim görevi bulunmadığını organizasyon ve yetki verisinden doğrula; yıllık dört yönetim faaliyetinin tamamlığını test et.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-004","SPK-VII-128.10","Madde 8/1-8/5","BS riskleri belirlenir, ölçülür, izlenir, işlenir ve raporlanır; risk analizi en az yıllık ve önemli değişiklikte yenilenir.","VII-128.10 madde 2 kapsamındaki kuruluş.","BS risk yönetimi ve değişiklik tetiklemeli yeniden değerlendirme.","Risk metodolojisi, varlık kapsamlı risk analizi, onaylı risk işleme planı, önemli değişiklik tetik kayıtları.","Varlık envanterinden örnek seçip risk kaydıyla eşleştir; son önemli değişiklik sonrası yeni analiz yapıldığını doğrula.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-005","SPK-VII-128.10","Madde 8/6-8/7 ve Ek-1","Bağımsız ve yeterlik belgeli tarafça yılda en az bir sızma testi yapılır; rapor tamamlandıktan sonra bir ay içinde ve en geç takip eden 31 Ocak'a kadar Kurula gönderilir.","VII-128.10 madde 2 kapsamındaki kuruluş; Kurul ek test isteyebilir.","Bağımsız yıllık sızma testi ve zamanında bildirim.","Testçi yetkinlik/bağımsızlık kanıtı, kapsam, rapor, bulgu-aksiyon kayıtları, Kurul gönderim alındısı.","Son denetim döneminin test tarihini ve rapor teslim tarihini hesapla; önceki bulguların yeniden test edildiğini örnekle.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-006","SPK-VII-128.10","Madde 10","Bilgi varlığı, hizmet ve süreç envanterleri oluşturulur ve güncel tutulur; varlıklar gizlilik-bütünlük-erişilebilirlik/kritiklik açısından sınıflandırılır.","VII-128.10 madde 2 kapsamındaki kuruluş.","Varlık/hizmet/süreç envanteri ve sınıflandırma.","Envanter kayıtları, sınıflandırma kılavuzu/onayı, sahiplik, yedekleme ve bağımlılık alanları, güvenli imha kayıtları.","CMDB/keşif çıktısından örnek varlıkları envanterle karşılaştır; zorunlu alan ve sahibi olmayan kaydı başarısız say.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-007","SPK-VII-128.10","Madde 11","Hata/kötüye kullanım riskini azaltacak görev ayrılığı sağlanır; yıllık gözden geçirilir; ayrılamayan durumda telafi edici kontrol kurulur.","VII-128.10 madde 2 kapsamındaki kuruluş.","SoD çatışma matrisi ve maker-checker/telafi edici kontrol.","Rol-yetki matrisi, yıllık SoD incelemesi, çatışma/istisna kaydı, bağımsız onay ve telafi edici test sonucu.","Kritik işlem rollerini çiftler halinde tarayıp çatışma üret; aynı kişinin talep/onay yapamadığını ve istisnada PASSED telafi testi bulunduğunu doğrula.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-008","SPK-VII-128.10","Madde 15","Kimlik doğrulama sınıfa uygun olur; kritik ve ayrıcalıklı hesaplarda bağımsız MFA, başarısız giriş kilidi, oturum zaman aşımı ve iz kaydı uygulanır.","VII-128.10 madde 2 kapsamındaki kuruluş; kritik sistem/ayrıcalıklı hesap ayrımı olgusu gerekir.","Güçlü kimlik doğrulama ve ayrıcalıklı hesap güvenliği.","Kimlik sağlayıcı ayarları, MFA kayıtları, parola/oturum politikası, başarılı-başarısız giriş logları, anomali raporları.","Kritik sistem ve ayrıcalıklı hesap örneklerinde MFA'yı zorla; tekrarlı hatalı girişte kilit ve hareketsiz oturumda kapanma gözle.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-009","SPK-VII-128.10","Madde 16","En az yetki ve rol tabanlı erişim uygulanır; tüm yetkiler yıllık gözden geçirilir; işe giriş/değişiklik/çıkış ve ayrıcalıklı erişim izlenir.","VII-128.10 madde 2 kapsamındaki kuruluş.","RBAC, JML ve yıllık erişim sertifikasyonu.","Onay kayıtları, rol matrisi, yıllık erişim incelemesi, işten ayrılan hesap kapatma süreleri, ayrıcalıklı işlem logları.","İK çıkış örneklerini IAM devre dışı bırakma zamanıyla karşılaştır; gereksiz yetki ve ortak/varsayılan hesapları tara.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-010","SPK-VII-128.10","Madde 18","Hassas veri saklama/iletim/yedekte şifrelenir; anahtarlar güvenli yönetilir; veri sızıntısı önlenir; süresi dolan veri geri döndürülemez silinir ve kayıt tutulur.","VII-128.10 madde 2 kapsamındaki kuruluş; veri sınıfı ve saklama süresi olguları gerekir.","Şifreleme, DLP, anahtar yaşam döngüsü ve güvenli silme.","Veri akış/ sınıflandırma kaydı, şifreleme konfigürasyonu, KMS anahtar rotasyonu, DLP olayı, imha logu.","Hassas veri örneklerini saklama-iletim-yedek katmanlarında kontrol et; süresi dolmuş test kaydının tüm ortamlardan silindiğini doğrula.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
